"AREA.NAME","Total_population","Total_employed","Total_unemployed","Total_not_in_labor_force","Total_underelementary","Total_overcollege","poverty_under_50","poverty_50_to_99","poverty_100_to_124","poverty_125_to_149","poverty_150_to_184","poverty_185_to_199","poverty_200_and_over","median_household_income"
"CENTRAL",87844,42802,4499,34080,6238,44213,11138,12440,4586,2643,5161,1946,40443,50521
"DEVONSHIRE",259035,129635,8701,74075,11133,122742,12595,16759,7666,7411,13606,5942,193315,102681
"FOOTHILL",193435,90230,6632,59135,22788,55971,10558,15359,11047,10440,14123,6440,123537,78385
"HARBOR",209839,98530,7189,60221,13703,77849,12899,17237,10926,9800,14398,5560,137043,76281
"HOLLENBECK",253142,116213,10601,73920,34510,70855,19355,26286,13964,16211,22436,7527,143644,68955
"HOLLYWOOD",148240,94623,8720,33505,5787,99589,11245,10010,6516,6025,6345,3943,102946,79280
"MISSION",213820,103561,8080,58516,22626,62293,12871,17674,9920,10627,18604,7346,134228,75929
"NEWTON",169524,73383,8378,45314,32666,24914,16887,25909,15681,14017,17081,6498,72331,53135
"NORTHEAST",206377,114658,9527,52911,11648,112099,10810,12873,6838,8000,11378,4552,148605,94214
"NORTH_HOLLYWOOD",213608,117298,11254,52141,11089,109261,13788,17041,8415,8076,12514,5725,146434,80853
"OLYMPIC",195800,105148,6881,51772,22752,76270,17036,23400,14896,12810,16233,6164,103724,53637
"PACIFIC",162203,92922,5893,40792,3748,105507,6695,5639,2833,2094,5039,2809,132601,115932
"RAMPART",175314,94646,7864,45367,21776,71341,19117,22941,9462,10167,14685,5828,91013,61085
"SEVENTY_SEVENTH_STREET",264715,112230,11907,79569,27546,72730,27367,33619,16638,15211,20529,9335,139827,55685
"SOUTHEAST",255384,108651,10901,72971,30522,57052,24667,31023,17797,17056,24109,9916,128026,57060
"SOUTHWEST",204815,98211,9436,62878,19041,70616,20734,22201,11515,12950,15599,5899,110195,55617
"TOPANGA",233435,119040,10181,61685,11829,111944,12709,17330,6996,7272,12871,3935,171004,96638
"VAN_NUYS",175993,96099,8936,40786,10001,86805,12137,14073,8208,6262,11212,4635,118217,79142
"WEST_LOS_ANGELES",289251,156100,10212,84249,4294,177142,18005,10943,7665,6457,8660,4051,216293,123489
"WEST_VALLEY",205720,103102,7676,56697,11384,94905,10489,13957,9737,8455,11977,5283,144185,86334
"WILSHIRE",117534,66861,5961,29077,6282,67157,7795,8451,4540,4433,7067,2413,81619,82413
